ID,Taste,Ambiance,Service,Worth_the_price,Menu_variety,Hygienic,Vegan_options,Smoking_area,Parking,Pet_friendly,Description
REST_088,31,31,21,yes,61,65,yes,yes,no,no,"REST_088는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_089,49,49,20,yes,78,78,yes,no,no,yes,"REST_089는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 가능."
REST_090,60,60,65,yes,85,85,no,yes,no,no,"REST_090는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_091,75,71,69,yes,23,26,yes,no,yes,no,"REST_091는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_092,80,85,79,yes,20,40,no,no,yes,no,"REST_092는 맛 점수 좋음, 분위기 좋음, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_093,10,10,10,no,10,10,yes,yes,no,yes,"REST_093는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 가능."
REST_094,30,30,30,no,30,30,yes,yes,yes,no,"REST_094는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_095,45,45,79,no,45,45,no,yes,no,no,"REST_095는 맛 점수 비추, 분위기 비추, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_096,22,23,25,no,23,24,yes,yes,yes,no,"REST_096는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_097,21,36,36,no,85,80,yes,no,no,yes,"REST_097는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 가능."
REST_098,20,26,31,no,20,90,yes,no,no,no,"REST_098는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 매우 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 불가."
REST_099,65,61,65,no,86,86,yes,yes,no,no,"REST_099는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_100,69,78,78,no,50,90,yes,yes,yes,yes,"REST_100는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 매우 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 가능."
